CIK,YEARA,P_AAER,UNDERSTATEMENT
1022345,2013,3744,0
1022832,1997,1919,0
1022832,1998,1919,0
1023393,1997,1304,0
1023516,1996,1358,0
1023516,1997,1358,0
1023519,2001,2425,0
1024338,2000,2496,0
1024401,1985,306,0
1024401,1986,306,0
1024401,1997,1821,0
1024401,1998,1821,0
1024401,1999,1821,0
1024401,2000,1821,0
1024452,2010,3768,0
1024452,2011,3768,0
1024678,1999,1560,0
1025844,1998,2344,0
1025844,1999,2344,0
1026214,1998,2728,0
1026214,1999,2728,0
1026214,2000,2728,0
1026214,2001,2728,0
1027138,1997,1782,0
1027138,1998,1782,0
1027138,1999,1782,0
1027138,2000,1782,0
1030471,1998,2821,0
1030471,1999,2821,0
1030471,2000,2821,0
1030471,2001,2821,0
